date,account_value,window_id,compounded_account_value
2022-02-24,963042.0968235016,172,2111934.1771342303
2022-02-25,987402.5086582184,172,2165356.1266964544
2022-02-28,982603.4264743808,172,2154831.8248862294
2022-03-01,963775.7535160066,172,2113543.0732025285
2022-03-02,981380.5680454256,172,2152150.118117205
2022-03-03,977908.1017673494,172,2144535.0613758597
2022-03-04,973506.330603409,172,2134882.0555605246
2022-03-07,948231.3470066072,172,2079454.4664025237
2022-03-08,941167.2433078767,172,2063963.0127252878
2022-03-09,962360.7472599032,172,2110439.9896686096
2022-03-10,958146.6954410556,172,2101198.6490358436
2022-03-11,952753.0301273348,172,2089370.4370047783
2022-03-14,954758.8273227692,172,2093769.1145531535
2022-03-15,975167.6144779208,172,2138525.221528114
2022-03-16,989936.4831150057,172,2170913.0875779423
2022-03-17,1000000.0,173,2170913.0875779423
2022-03-18,1002948.5577297212,173,2177314.150142873
2022-03-21,997414.6077545168,173,2165300.4257157003
2022-03-22,1004374.180408768,173,2180409.0530747636
2022-03-23,988832.8076940156,173,2146670.083649381
2022-03-24,997603.942923752,173,2165711.455912532
2022-03-25,1001507.8536694796,173,2174186.5068431683
2022-03-28,1005078.4668744355,173,2181937.997780485
2022-03-29,1014166.1029980928,173,2201666.465976479
2022-03-30,1012443.6806958468,173,2197927.236858197
2022-03-31,996772.5891888888,173,2163906.6592091103
2022-04-01,1001177.1527722628,173,2173468.5839373264
2022-04-04,1002500.1407635956,173,2176340.675882419
2022-04-05,997956.2435773164,173,2166476.270012117
2022-04-06,995238.8740704803,173,2160577.0969859413
2022-04-07,998959.8511975555,173,2168655.014929687
2022-04-08,1005650.0877316744,173,2183178.936980598
2022-04-11,993513.7003567964,173,2156831.8947925596
2022-04-12,987526.7714627534,173,2143834.792502083
2022-04-13,995636.6173413544,173,2161440.563058178
2022-04-14,1000000.0,174,2161440.563058178
2022-04-18,1000014.5797790526,175,2161440.563058178
2022-04-19,1008874.7166748048,175,2180590.9431305947
2022-04-20,1018565.2611269072,175,2201536.1736106547
2022-04-21,1008713.6611284332,175,2180242.8362150835
2022-04-22,977655.2303117828,175,2113112.86276322
2022-04-25,985931.9037660676,175,2131002.1396727934
2022-04-26,962035.7270158844,175,2079352.7269799649
2022-04-27,968175.813311966,175,2092623.9650692742
2022-04-28,983925.8314699248,175,2126666.1968565714
2022-04-29,958425.1521638946,175,2071548.7978184791
2022-05-02,961504.8857225494,175,2078205.3618043351
2022-05-03,961325.8230338212,175,2077818.3340883662
2022-05-04,988396.6983936996,175,2136329.569087821
2022-05-05,957246.6102799606,175,2069001.486724514
2022-05-06,953065.632116104,175,2059964.6826825002
2022-05-09,940307.0911844024,175,2032388.2568454782
