date,window_seq,account_value,strategy_compounded,Close,benchmark_continuous,benchmark_window_value,benchmark_compounded,equal_weight_window_value,equal_weight_compounded
2011-08-05,6,939779.2223632698,933650.0725366776,11444.6103515625,950536.3884733417,908821.7496558945,954094.9607434898,913295.4735809534,963604.3145972167
2011-08-08,6,883660.3092192278,877897.1615541864,10809.849609375,897816.0978833532,858415.1083979894,901177.2984732137,861498.7727945357,908954.3948248188
2011-08-09,6,922050.9811883935,916037.4532480245,11239.76953125,933523.2576134362,892555.2462976619,937018.1369451125,898369.0767096739,947855.6978104057
2011-08-10,6,873390.5975244483,867694.4279327195,10719.9404296875,890348.6573741979,851275.3792605476,893681.9017205655,855417.078626877,902537.6908012691
2011-08-11,6,910534.8053554972,904596.3848078321,11143.3095703125,925511.73952018,884895.3166208959,928976.6257169545,894426.0263634544,943695.4447091904
2011-08-12,6,917164.504618225,911182.845808722,11269.01953125,935952.627291282,894878.0021941792,939456.601579947,901156.4916190739,950796.6573475631
2011-08-15,6,936673.7021613426,930564.8062392359,11482.900390625,953716.581972896,911862.3791947082,957287.0600980314,917677.9720757285,968228.2228289339
2011-08-16,6,928843.6905859736,922785.8612473233,11405.9296875,947323.7514684742,905750.1004069243,950870.2964232052,911934.5443507133,962168.4186401514
2011-08-17,6,927790.2633538712,921739.3043664516,11410.2099609375,947679.2511779426,906089.998880964,951227.127035334,910843.8084002627,961017.599547816
2011-08-18,6,894490.4568736849,888656.6760258292,10990.580078125,912826.7344865701,872766.9976960885,916244.1311735198,878499.188819383,926891.2780191036
2011-08-19,6,883847.6924011278,878083.3226409714,10817.650390625,898463.994684456,859034.5720098143,901827.620839101,869376.5472432044,917266.1161327073
2011-08-22,7,1000000.0,878083.3226409714,10854.650390625,901537.0435077139,1000000.0,901827.620839101,1000000.0,917266.1161327073
2011-08-23,7,1002909.1250896456,880637.7768656656,11176.759765625,928289.957988905,1029674.7811682816,928589.1581390133,1031555.5975950632,946210.9965809776
2011-08-24,7,1005944.6574011804,883303.2271637621,11320.7099609375,940245.7952406027,1042936.3962486557,940548.8489154312,1045747.7605996863,959228.9868197505
2011-08-25,7,1000871.423429394,878848.505021281,11149.8203125,926052.4916449862,1027192.945995749,926350.9706300534,1029119.040007006,943976.0248654467
2011-08-26,7,1008027.82799635,885132.4245215965,11284.5400390625,937241.6888661351,1039604.1911040073,937543.774277685,1044489.7413118223,958075.0483535515
2011-08-29,7,1021681.06264782,897121.1021691562,11539.25,958396.7198318389,1063069.7060465694,958705.6237901002,1068845.4601383694,980415.7239671986
2011-08-30,7,1022671.7437765126,897991.0027463163,11559.9501953125,960115.9822871438,1064976.7407798464,960425.440386469,1069341.5015697626,980870.7259644134
2011-08-31,7,1027076.5364955906,901858.777772629,11613.5302734375,964566.0956934167,1069912.881161786,964876.9881232412,1076391.9816226223,987337.8924193713
2011-09-01,7,1014750.2351951604,891035.2581708735,11493.5703125,954602.7763205237,1058861.4003106747,954910.4574405347,1064963.1201363376,976854.5850320283
2011-09-02,7,988814.1285311704,868261.1954549866,11240.259765625,933563.9742126043,1035524.8083653661,933864.8742480042,1040165.1807102747,954108.2754465893
2011-09-06,7,979450.5397040524,860039.184265827,11139.2998046875,925178.706938141,1026223.7293527526,925476.9042908223,1032526.4104957259,947101.49035986
2011-09-07,7,1004819.6462523616,882315.3736361992,11414.8603515625,948065.4911086952,1051610.1339773545,948371.0651750859,1059844.317246932,972159.2805864143
2011-09-08,7,991340.6103579678,870479.657012053,11295.8095703125,938177.6839944184,1040642.4125892182,938480.0710895968,1049609.0208159455,962770.7899816962
2011-09-09,7,964544.6358382382,846950.558672366,10992.1298828125,912955.4540938999,1012665.4924147753,913249.7117302736,1023552.4201625015,938869.9531006907
2011-09-12,7,972666.6730029264,854082.3840525489,11061.1201171875,918685.463784775,1019021.3152089012,918981.568279175,1032010.4925690412,946628.2563270066
2011-09-13,7,979833.6579501308,860375.5940083079,11105.849609375,922400.488469416,1023142.082859431,922697.7903654831,1040151.8212229706,954096.0212415564
2011-09-14,7,992188.2363307156,871223.9432425601,11246.73046875,934101.4008781159,1036120.9310309647,934402.4741332491,1053794.9350306478,966610.3872558809
2011-09-15,7,1011432.4241816676,888121.9436522512,11433.1796875,949587.0103991168,1053297.8286776207,949893.0748713297,1072025.9730032668,983333.1006500932
2011-09-16,7,1018323.8459727444,894173.1861962802,11509.08984375,955891.7567866135,1060291.159049234,956199.8533621035,1080964.230664329,991531.8615398491
2011-09-19,7,1008940.8448692516,885934.1294109813,11401.009765625,946915.1255190555,1050334.1291831825,947220.3288073784,1072537.3021798993,983802.1255780082
2011-09-20,8,1000000.0,885934.1294109813,11408.66015625,947550.5315706128,1000000.0,947220.3288073784,1000000.0,983802.1255780082
2011-09-21,8,996303.1375696184,882658.9528121691,11124.83984375,923977.7294802128,975122.379962864,923655.7413758574,971616.5565657367,955878.4335961568
2011-09-22,8,988111.0297363282,875401.2848908422,10733.830078125,891502.2673143687,940849.3136895389,891191.5962712013,940598.667676437,925362.9685759213
2011-09-23,8,990573.2051010132,877582.6100790115,10771.48046875,894629.334573973,944149.4725258396,894317.5738092386,949553.1448305581,934172.4022335854
2011-09-26,8,1001771.5311841964,887503.5893483767,11043.8603515625,917251.9475025152,968024.3078774108,916932.303201176,969156.9896194881,953458.7064064362
2011-09-27,8,1008941.154987049,893855.4037703613,11190.6904296875,929446.9744971337,980894.3623898649,929123.0804682316,979818.4433684977,963947.4672664633
2011-09-28,8,995763.1750200272,882180.5815608824,11010.900390625,914514.4456329581,965135.277922439,914195.7552972933,962608.2496968332,947016.0421506707
2011-09-29,8,1004799.6943404196,890186.3424378998,11153.98046875,926398.014976571,977676.6347658731,926075.1834502215,970307.9245814229,954590.9986683895
2011-09-30,8,982789.2817429542,870686.5667153877,10913.3798828125,906414.8434227768,956587.3409625432,906098.9756395159,948640.2729741952,933274.3169609152
2011-10-03,8,955762.012513462,846742.1864802013,10655.2998046875,884979.9061149843,933965.9222691644,884671.5079866842,922295.3526400962,907356.1283380453
2011-10-04,8,974803.3173501606,863611.528303551,10808.7099609375,897721.4439566022,947412.7384727268,897408.6056524351,938719.2369036736,923513.9805868
2011-10-05,8,988969.844347063,876162.1380653289,10939.9501953125,908621.6506541746,958916.3009049115,908305.0138419052,951861.9555487547,936443.8151257044
2011-10-06,8,1010081.1147533302,894865.3330334651,11123.330078125,923852.3353321777,974990.044911743,923530.3909252218,968407.8707711158,952721.7216910968
2011-10-07,8,1001526.8716240082,887286.8370939194,11103.1201171875,922173.7894760406,973218.587031439,921852.4300093718,962610.1696607395,947017.9310152427
2011-10-10,8,1032686.3342988376,914892.0685316583,11433.1796875,949587.0103991168,1002149.2034046231,949256.0979629795,992694.0853049295,976614.5511717063
2011-10-11,8,1033263.9259180584,915403.7766599876,11416.2998046875,948185.045425774,1000669.6359022768,947854.6215469143,992921.3840706449,976838.1681805584
2011-10-12,8,1041032.4665190048,922286.191914081,11518.849609375,956702.3577668617,1009658.4043714051,956368.9657718155,1003233.0732495763,986982.8299130907
2011-10-13,8,1037139.9354959792,918837.6658309916,11478.1298828125,953320.3656642598,1006089.2099169457,952988.1522270849,1001372.1606727015,985152.0601644466
2011-10-14,8,1053055.2038239231,932937.5452214509,11644.490234375,967137.4868157705,1020671.145857194,966800.4583830549,1014532.9060060988,998099.6293976336
2011-10-17,8,1032433.0844699992,914667.7058650228,11397.0,946582.0929370164,998977.9556853912,946252.2276556389,994212.5237459344,978108.3941375263
2011-10-18,9,1000000.0,914667.7058650228,11577.0498046875,961536.1967322252,1000000.0,946252.2276556389,1000000.0,978108.3941375263
2011-10-19,9,999161.4633230212,913900.7234464069,11504.6201171875,955520.5219770683,993743.6835185183,940332.1742481183,993573.6792763445,971822.7558942988
2011-10-20,9,999767.1406944278,914454.7169782057,11541.7802734375,958606.8726375046,996953.495765759,943369.466237426,995921.6642045038,974119.3396618399
2011-10-21,9,1009439.185107613,923301.4236526384,11808.7900390625,980783.4684767547,1020017.2097628162,965193.5569851539,1019153.8245706701,996842.9107299363
